Document,Pan-2023,Zhang-2024, Jiang-2024,Wan-2022,Hóu-2025
Year,2023,2024,2024,2-Jan-24,abr 2025
Domain,Logic reasoning,"Knowledge 
Reasoning",Rationality,Neuro-symbolic AI (NSAI),Neuro-symbolic AI general state-of-art
Title,LOGIC-LM: Empowering Large Language Models with Symbolic Solvers for Faithful Logical Reasoning,"CHAIN-OF-KNOWLEDGE: Integrating Knowledge Reasoning into Large
Language Models by Learning from Knowledge Graphs",Towards Rationality in Language and Multimodal Agents: A Survey ,Towards Cognitive AI Systems: A Survey and Prospective on Neuro-Symbolic AI,"Neural-Symbolic Reasoning: Towards the
Integration of Logical Reasoning with Large
Language Models"
Survey,,,x,x,x
,,,,,
Aproches,,,,,obtain from
Neural Propose → Symbolic Verify (Sequential Pipeline),x,,,,x
Symbolic Scaffold → Neural Fill (Structural Decomposition),,,,,x
Joint Neural+Symbolic Inference (End-to-End Integration),,,,,x
Multi-Agent or Modular Systems (Parallel Integration),,x,,x,x
,,,,,
Chain-of-Action,x,,x,x,x
Training,,x,,,x
use Prolog,x,,,,
use Knowledge Graph,,x,,x,x
use BFS,,x,,,
use Monte Carlo,,,,x,
symbolic formulation,x,,x,x,x
"external deterministic 
Solver",x,,,x,
in context learning,x,,x,,x
Self-refinement,x,,x,,x
Rule-base interpreter,x,,,x,x
LLM-base interpreter,x,x,,,x
LLM problem solving,,x,x,,x
LLM probl representation,x,,,,x
behavior learning,,x,,,
Trial-and-error,,x,,,
"simbolic agent that 
Search the rules",,x,,,
,,,,,
external tools,x,,x,,x
programming code,,,x,x,
symbolic resoners,x,,x,x,x
multimodal agents,,,x,,
multi-agent systems,x,x,x,x,x
,,,,,
axioms of rationality,,,,,
Information Graunding,,,x,x,x
Logical Consistency,,,x,x,x
Invariance from Irrelevant Context,,,x,x,
Orderability of Preference,,,x,,
,,,,,
Evaluate,,,obtain from,,
hallucinations,,,x,,x
modify instruction templates,,,x,,
paraphasing task descriptions,,,x,,
alter the order of examples,,,x,,
change prompt language,,,x,,
risk aversion,,,x,,
lost aversion,,,x,,
small probability under uncertainty,,,x,,
,,,,,
Evaluation parameters,,,,,obtain from
Correctness and Soundness,,,,,x
Accuracy and Success Rate,,,,,x
 Efficiency and Scalability,,,,,x
Interpretability and Explanation Quality,,,,,x
Generality and Coverage,,,,,x
,,,,,
Comparative Baselines,,,,,obtain from
Neural-only methods,,,,,x
Symbolic-only methods,,,,,x
Heuristic explainers,,,,,x
